bucket_index,bucket_start_time,frame_count,hits,floods_unknown,floods_broadcast,drops,flood_ratio,hit_rate,table_size
0,0,250,18,231,0,1,0.924,0.0722892,48
1,250,250,22,225,0,3,0.9,0.0890688,48
2,500,250,20,228,0,2,0.912,0.0806452,50
3,750,250,14,233,0,3,0.932,0.0566802,49
4,1000,250,24,223,0,3,0.892,0.097166,48
5,1250,250,23,225,0,2,0.9,0.0927419,49
6,1500,250,16,231,0,3,0.924,0.0647773,50
7,1750,250,21,228,0,1,0.912,0.0843373,48
8,2000,250,26,224,0,0,0.896,0.104,48
9,2250,250,20,225,0,5,0.9,0.0816327,50
10,2500,250,26,223,0,1,0.892,0.104418,48
11,2750,250,23,225,0,2,0.9,0.0927419,49
12,3000,250,15,232,0,3,0.928,0.0607287,47
13,3250,250,26,222,0,2,0.888,0.104839,47
14,3500,250,24,225,0,1,0.9,0.0963855,45
15,3750,250,17,230,0,3,0.92,0.0688259,48
16,4000,250,23,220,0,7,0.88,0.0946502,49
17,4250,250,26,220,0,4,0.88,0.105691,48
18,4500,250,24,223,0,3,0.892,0.097166,49
19,4750,250,18,231,0,1,0.924,0.0722892,49
