bucket_index,bucket_start_time,table_size,evicted_count
1788016866,1788016866000000,36,0
1788016867,1788016867000000,57,26
1788016868,1788016868000000,41,43
1788016869,1788016869000000,39,25
1788016870,1788016870000000,26,28
1788016871,1788016871000000,33,16
1788016872,1788016872000000,29,27
1788016873,1788016873000000,38,25
1788016874,1788016874000000,35,32
1788016875,1788016875000000,41,21
1788016876,1788016876000000,30,30
1788016877,1788016877000000,49,19
1788016878,1788016878000000,31,37
1788016879,1788016879000000,45,20
1788016880,1788016880000000,36,29
1788016881,1788016881000000,50,20
1788016882,1788016882000000,45,43
1788016883,1788016883000000,58,26
1788016884,1788016884000000,59,33
1788016885,1788016885000000,58,39
1788016886,1788016886000000,64,3
